007 - A View to a Kill	en-gb,nl	https://archive.org/download/Commodore64Manuals/ViewToAKillAeurope.pdf
Dan Dare II - Mekon's Revenge	en	https://archive.org/download/Commodore64Manuals/Dan Dare II - Mekon's Revenge (Europe).pdf
Dan Dare III - The Escape	en	https://archive.org/download/Commodore64Manuals/Dan Dare III - The Escape (Europe).pdf
Dance Fantasy	en	https://archive.org/download/DanceFantasyFisherPrice/Dance_Fantasy_Fisher_Price.pdf
Dancing Monster	en	http://www.digitpress.com/library/manuals/c64/DancingMonster.txt
Dandy	en	https://archive.org/download/Commodore64Manuals/Dandy (Europe).pdf
Dark Fusion	en-gb,de,fr,it	https://archive.org/download/Commodore64Manuals/Dark Fusion (Europe).pdf
Dark Star	en	https://archive.org/download/Dark_Star_1984_Mastertronic/Dark_Star_1984_Mastertronic.pdf
Darkman	en	https://archive.org/download/Commodore64Manuals/Darkman (Europe).pdf
David's Midnight Magic	en	https://archive.org/download/Commodore64Manuals/David's Midnight Magic (USA).pdf
Days Of Thunder	en	https://archive.org/download/Commodore64Manuals/Days of Thunder (USA).pdf
Deactivators	en	https://archive.org/download/Commodore64Manuals/Deactivators (Europe).pdf
DeadRinger	en	https://archive.org/download/Dead_Ringer_1988_Ariolasoft/Dead_Ringer_1988_Ariolasoft.pdf
Death Race 64	en	https://archive.org/download/Commodore64Manuals/Death Race 64 (Europe).pdf
Decathlon	en	https://archive.org/download/Commodore64Manuals/Decathlon (USA).pdf
Deceptor	en	https://archive.org/download/Commodore64Manuals/Deceptor (Europe).pdf
Deep Strike	en	https://archive.org/download/Commodore64Manuals/Deep Strike (Europe).pdf
Defender	en	https://archive.org/download/Commodore64Manuals/Defender (Atarisoft) (USA).pdf
